颜色代码,HEX
S01,#FFFFFF
S02,#FFA38B
S03,#FF8200
S04,#FA4616
S05,#EE2737
S06,#EF64A2
S07,#97999B
S08,#26D07C
S09,#007371
S10,#56B7E6
S11,#0050B5
S12,#9063CD
S13,#000000
S14,#FDDA24
S15,#A72B2A
S16,#674736
S17,#7B4D35
S18,#EAA794
S19,#F8C1B8
S20,#249E6B
S21,#93C90E
S22,#483698
S23,#7D55C7
S24,#1164C9
S25,#EF60A3
S26,#F04E98
S27,#FFC72C
S28,#EF95CF
S29,#FBDB65
S30,#A4E6E8
S31,#B5E3D8
S32,#FECB8B
S33,#C5B4E3
S34,#D50032
S35,#F7CED7
S36,#E06287
S37,#8BD3E6
S38,#BC204B
S39,#FF7F41
S40,#F99FC9
S41,#9A5516
S42,#A09F9D
S43,#75787B
S44,#9BCBEB
S45,#00B2A9
S46,#8EDD65
S47,#A6631B
S48,#FFC845
S49,#973961
S50,#FFB3AB
S51,#FFF8DB
S52,#F8E08E
S53,#62A0E6
S54,#0090DA
S55,#ADDC91
S56,#FF6A39
S57,#B33D26
S58,#BA0C2F
S59,#5949A7
S60,#9678D3
S61,#E6DE77
S62,#007C58
S63,#4C5914
S64,#2C2D65
S65,#F0EC74
S66,#EE5340
S67,#ECC3B2
S68,#E7B78A
S69,#212721
S70,#BABC16
S71,#008522
S72,#67D9DF
S73,#48A9C5
S74,#04A9C7
S75,#0085AD
S76,#00A7B5
S77,#D9D9D6
S78,#C8C9C7
S79,#B1B3B3
S80,#A2A569
S81,#D5A286
S82,#C58B68
S83,#B15533
S84,#AB5C57
S85,#8A2A2B
S86,#F29D04
S87,#FF808B
S88,#DA1884
S89,#53565A
S90,#FFC56E
S91,#183028
S92,#C69214
S93,#EDC8A3
S94,#EAA794
S95,#E8927C
S96,#FF8D6D
S97,#E35205
S98,#80B6E8
S99,#5CA9CC
S100,#5DB3CB
S101,#00A3E1
S102,#0077CF
S103,#0067B9
S104,#007DBA
S105,#00859B
S106,#0076A8
S107,#007096
S108,#E6C78A
S109,#CEB888
S110,#C6AA76
S111,#A08629
S112,#897630
S113,#C3C6A8
S114,#C0BB87
S115,#B0AA7E
S116,#A3AA83
S117,#77744D
S118,#5E6738
S119,#98DBCE
S120,#9BE3BF
S121,#6BBBAE
S122,#00BB7E
S123,#31B700
S124,#035F1D
S125,#007864
S126,#00685E
S127,#DECDE7
S128,#C98BDB
S129,#DCB6C9
S130,#DD74A1
S131,#AD96DC
S132,#EF426F
S133,#C724B1
S134,#8031A7
S135,#9FAEE5
S136,#B4B2E4
S137,#5F8DDA
S138,#5780D2
S139,#5576D1
S140,#3C62C3
S141,#466CCA
S142,#365ABD
S143,#1E22AA
S144,#002D72
S145,#E9E186
S146,#8C243D
S147,#86C8BC
S148,#724736
S149,#FCD299
S150,#8B84D7
S151,#335525
S152,#A7A4E0
S153,#C6C4EA
S154,#EBC29D
S155,#C58B68
S156,#63666A
S157,#46494C
S158,#191D19
S159,#88888D
SE01,#D1DDE6
SE02,#9BB8E3
SE03,#5E8AB4
SE04,#6AD1E3
SE05,#03C1AA
SE06,#126AD4
SE07,#BFA5B8
SE08,#9B7793
SE09,#693C5E
SE10,#C964CF
SE11,#AD1AAC
SE12,#FFB25B
SE13,#E6A65D
SE14,#D38235
SE15,#C16C18
SE16,#F5B6CD
SE17,#5D2A2C
